Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
52,,2023-02-04,30-110,WAS,@,BRK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,37,2023-02-06,30-112,WAS,,CLE,L (-23),0,20:41,2,4,.500,1,1,1.000,1,2,.500,2,0,2,1,0,0,1,2,6,3.9,0
54,38,2023-02-08,30-114,WAS,,CHO,W (+14),0,19:04,3,4,.750,0,1,.000,1,1,1.000,0,3,3,2,0,1,1,1,7,7.0,+8
55,39,2023-02-11,30-117,WAS,,IND,W (+14),0,3:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-7
56,40,2023-02-13,30-119,WAS,@,GSW,L (-9),0,12:25,2,3,.667,0,0,,2,2,1.000,1,0,1,0,0,2,1,0,6,5.8,0
57,41,2023-02-14,30-120,WAS,@,POR,W (+25),0,2:01,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+8
58,,2023-02-16,30-122,WAS,@,MIN,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,,2023-02-24,30-130,WAS,,NYK,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,42,2023-02-26,30-132,WAS,@,CHI,L (-20),0,7:52,0,0,,0,0,,3,6,.500,1,0,1,0,0,0,0,2,3,1.7,-12
61,,2023-02-28,30-134,WAS,@,ATL,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,,2023-03-02,30-136,WAS,,TOR,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,43,2023-03-04,30-138,WAS,,TOR,L (-7),0,6:52,0,1,.000,0,1,.000,4,4,1.000,1,1,2,0,0,0,0,3,4,3.1,-4
64,44,2023-03-05,30-139,WAS,,MIL,L (-6),1,18:57,1,4,.250,0,1,.000,0,0,,2,4,6,1,0,0,1,1,2,1.5,+7
65,,2023-03-07,30-141,WAS,@,DET,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
66,,2023-03-08,30-142,WAS,,ATL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,,2023-03-10,30-144,WAS,,ATL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,45,2023-03-12,30-146,WAS,@,PHI,L (-19),0,9:26,1,2,.500,0,0,,3,4,.750,1,0,1,1,0,1,0,1,5,5.3,-2
69,46,2023-03-14,30-148,WAS,,DET,W (+20),0,3:15,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,1,0,2,1.7,-3
70,47,2023-03-17,30-151,WAS,@,CLE,L (-23),0,6:43,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-2
71,48,2023-03-18,30-152,WAS,,SAC,L (-14),0,13:41,1,3,.333,0,1,.000,4,4,1.000,1,5,6,0,1,2,0,3,6,7.7,-1
72,49,2023-03-21,30-155,WAS,@,ORL,L (-10),0,0:34,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
73,50,2023-03-22,30-156,WAS,,DEN,L (-14),0,10:16,1,2,.500,0,0,,1,2,.500,1,2,3,0,0,0,0,0,3,2.9,-1
74,51,2023-03-24,30-158,WAS,,SAS,W (+12),0,18:04,1,3,.333,0,0,,2,3,.667,1,0,1,2,0,1,0,2,4,3.9,+10
75,52,2023-03-26,30-160,WAS,@,TOR,L (-10),0,8:13,1,2,.500,0,0,,0,1,.000,1,2,3,0,0,0,0,0,2,1.9,-6
76,53,2023-03-28,30-162,WAS,,BOS,W (+19),0,11:34,2,3,.667,0,0,,0,0,,0,0,0,2,0,0,1,0,4,3.1,+7
77,54,2023-03-31,30-165,WAS,,ORL,L (-7),0,12:52,1,5,.200,0,1,.000,0,0,,1,2,3,2,0,0,1,1,2,0.2,
78,55,2023-04-02,30-167,WAS,@,NYK,L (-9),0,3:31,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,0,3,3.0,+9
79,56,2023-04-04,30-169,WAS,,MIL,L (-12),1,21:36,2,4,.500,1,1,1.000,3,5,.600,1,2,3,1,0,0,1,2,8,5.4,-17
80,57,2023-04-05,30-170,WAS,@,ATL,L (-18),1,19:52,2,4,.500,0,1,.000,0,2,.000,3,2,5,0,0,0,0,3,4,2.7,-14
81,58,2023-04-07,30-172,WAS,,MIA,W (+6),1,19:18,2,5,.400,0,2,.000,0,0,,0,3,3,2,0,0,1,1,4,2.2,+25
82,59,2023-04-09,30-174,WAS,,HOU,L (-5),0,20:41,3,8,.375,0,2,.000,2,4,.500,0,2,2,2,1,0,0,3,8,4.6,-1
