Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,,2023-03-04,27-250,WAS,,TOR,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,2023-03-05,27-251,WAS,,MIL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,,2023-03-07,27-253,WAS,@,DET,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,52,2023-03-08,27-254,WAS,,ATL,L (-2),0,16:29,2,7,.286,1,3,.333,0,0,,1,3,4,5,0,0,0,0,5,6.0,-6
67,53,2023-03-10,27-256,WAS,,ATL,L (-7),1,26:14,2,6,.333,0,2,.000,2,2,1.000,1,4,5,8,2,1,3,3,6,8.6,+8
68,54,2023-03-12,27-258,WAS,@,PHI,L (-19),1,25:27,5,8,.625,1,2,.500,0,0,,0,4,4,1,0,1,2,1,11,7.6,-22
69,55,2023-03-14,27-260,WAS,,DET,W (+20),1,27:52,6,10,.600,0,3,.000,1,1,1.000,1,7,8,4,0,0,2,0,13,12.0,+25
70,56,2023-03-17,27-263,WAS,@,CLE,L (-23),1,28:59,3,10,.300,2,4,.500,2,2,1.000,0,2,2,5,0,0,1,0,10,7.3,-3
71,57,2023-03-18,27-264,WAS,,SAC,L (-14),1,20:24,2,6,.333,1,2,.500,2,2,1.000,0,2,2,3,0,0,0,0,7,6.3,-8
72,58,2023-03-21,27-267,WAS,@,ORL,L (-10),1,31:32,5,10,.500,2,5,.400,2,2,1.000,0,2,2,8,0,0,1,0,14,14.2,-4
73,59,2023-03-22,27-268,WAS,,DEN,L (-14),1,23:48,4,10,.400,0,3,.000,0,0,,1,1,2,5,2,0,1,0,8,8.1,-16
74,60,2023-03-24,27-270,WAS,,SAS,W (+12),1,19:02,5,8,.625,0,1,.000,0,0,,1,1,2,4,0,1,0,0,10,10.9,-14
75,,2023-03-26,27-272,WAS,@,TOR,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
76,61,2023-03-28,27-274,WAS,,BOS,W (+19),1,28:30,9,15,.600,1,6,.167,0,0,,0,3,3,9,1,2,0,0,19,21.7,+25
77,62,2023-03-31,27-277,WAS,,ORL,L (-7),1,13:24,1,5,.200,1,3,.333,1,1,1.000,1,2,3,5,1,0,0,0,4,6.7,
78,,2023-04-02,27-279,WAS,@,NYK,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
79,,2023-04-04,27-281,WAS,,MIL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,2023-04-05,27-282,WAS,@,ATL,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,,2023-04-07,27-284,WAS,,MIA,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,,2023-04-09,27-286,WAS,,HOU,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
