Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
55,40,2023-02-11,24-111,WAS,,IND,W (+14),0,3:02,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-7
56,,2023-02-13,24-113,WAS,@,GSW,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2023-02-14,24-114,WAS,@,POR,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,2023-02-16,24-116,WAS,@,MIN,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,,2023-02-24,24-124,WAS,,NYK,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,41,2023-02-26,24-126,WAS,@,CHI,L (-20),0,19:28,0,2,.000,0,1,.000,0,0,,1,3,4,3,1,0,1,2,0,1.5,-14
61,42,2023-02-28,24-128,WAS,@,ATL,W (+3),0,18:28,2,3,.667,0,0,,2,2,1.000,1,0,1,4,2,0,0,2,6,9.4,+5
62,43,2023-03-02,24-130,WAS,,TOR,W (+11),0,12:21,2,3,.667,1,2,.500,0,0,,2,3,5,1,0,0,2,1,5,4.3,+8
63,44,2023-03-04,24-132,WAS,,TOR,L (-7),0,20:45,3,4,.750,0,1,.000,1,1,1.000,2,1,3,2,0,0,2,1,7,6.1,-14
64,45,2023-03-05,24-133,WAS,,MIL,L (-6),0,19:25,1,7,.143,0,2,.000,1,2,.500,4,4,8,4,1,0,1,1,3,4.5,-5
65,46,2023-03-07,24-135,WAS,@,DET,W (+2),0,16:27,3,4,.750,0,0,,0,0,,0,3,3,6,0,1,0,3,6,9.0,-4
