Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,,2023-01-01,37-191,WAS,@,MIL,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2023-01-03,37-193,WAS,@,MIL,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2023-01-06,37-196,WAS,@,OKC,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,24,2023-01-09,37-199,WAS,,NOP,L (-20),0,11:08,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,2,4,4,0.1,-6
42,25,2023-01-11,37-201,WAS,,CHI,W (+3),1,24:35,3,7,.429,0,1,.000,3,5,.600,3,5,8,3,1,1,0,2,9,11.1,+6
43,26,2023-01-13,37-203,WAS,,NYK,L (-4),0,11:29,2,2,1.000,0,0,,1,2,.500,1,1,2,1,0,0,1,2,5,3.9,-5
44,,2023-01-16,37-206,WAS,,GSW,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,27,2023-01-18,37-208,WAS,@,NYK,W (+11),0,8:31,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.8,0
46,28,2023-01-21,37-211,WAS,,ORL,W (+20),0,12:39,1,2,.500,0,0,,0,0,,1,2,3,2,0,0,3,2,2,-0.1,+5
47,29,2023-01-24,37-214,WAS,@,DAL,W (+1),0,5:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+3
