Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,34,2023-01-12,27-162,LAL,,DAL,L (-4),0,19:12,4,11,.364,3,8,.375,1,2,.500,0,1,1,1,0,0,0,0,12,6.5,+11
43,35,2023-01-15,27-165,LAL,,PHI,L (-1),0,19:45,2,3,.667,0,0,,0,0,,0,2,2,3,0,0,0,1,4,5.0,+3
44,36,2023-01-16,27-166,LAL,,HOU,W (+8),0,23:58,7,12,.583,1,5,.200,0,0,,0,2,2,1,0,0,0,0,15,10.7,-6
45,37,2023-01-18,27-168,LAL,,SAC,L (-5),0,16:29,5,8,.625,4,6,.667,0,0,,0,1,1,0,0,1,0,4,14,9.8,+18
46,38,2023-01-20,27-170,LAL,,MEM,W (+1),0,21:21,4,10,.400,3,9,.333,0,0,,0,5,5,0,0,1,1,4,11,5.2,+3
47,39,2023-01-22,27-172,LAL,@,POR,W (+9),0,15:55,2,5,.400,0,2,.000,1,2,.500,1,5,6,1,0,0,0,0,5,4.8,-11
48,,2023-01-24,27-174,WAS,@,DAL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,40,2023-01-25,27-175,WAS,@,HOU,W (+5),0,22:03,5,9,.556,2,5,.400,0,0,,2,2,4,4,2,0,0,1,12,14.1,+7
50,41,2023-01-28,27-178,WAS,@,NOP,W (+10),0,17:48,5,13,.385,2,7,.286,0,0,,0,2,2,0,0,0,1,2,12,3.7,0
51,42,2023-01-30,27-180,WAS,@,SAS,W (+21),0,20:11,5,11,.455,1,3,.333,1,1,1.000,1,2,3,2,1,0,0,1,12,9.6,+11
52,43,2023-02-03,27-184,WAS,,POR,L (-8),0,17:30,2,5,.400,2,4,.500,0,0,,0,2,2,3,0,0,1,2,6,4.2,-5
53,44,2023-02-04,27-185,WAS,@,BRK,L (-2),0,20:37,1,4,.250,0,1,.000,3,3,1.000,0,1,1,1,1,0,4,2,5,-0.2,-5
54,45,2023-02-06,27-187,WAS,,CLE,L (-23),0,15:24,3,6,.500,0,1,.000,2,2,1.000,0,0,0,3,1,0,2,2,8,5.3,-8
55,46,2023-02-08,27-189,WAS,,CHO,W (+14),0,10:36,3,7,.429,0,2,.000,0,0,,3,1,4,2,0,0,3,0,6,3.1,+2
56,47,2023-02-11,27-192,WAS,,IND,W (+14),0,22:13,4,8,.500,2,4,.500,0,0,,0,3,3,6,1,0,1,1,10,10.7,+22
57,48,2023-02-13,27-194,WAS,@,GSW,L (-9),0,29:00,5,7,.714,2,3,.667,1,2,.500,0,2,2,6,1,0,1,1,13,14.1,-3
58,49,2023-02-14,27-195,WAS,@,POR,W (+25),0,13:52,3,4,.750,2,3,.667,2,2,1.000,0,1,1,1,0,0,1,1,10,8.0,+8
59,50,2023-02-16,27-197,WAS,@,MIN,W (+8),0,12:43,1,2,.500,1,2,.500,0,0,,0,2,2,2,1,0,0,0,3,5.0,+10
60,51,2023-02-24,27-205,WAS,,NYK,L (-6),0,9:59,1,4,.250,1,3,.333,0,0,,0,1,1,2,0,0,0,1,3,1.9,-5
61,52,2023-02-26,27-207,WAS,@,CHI,L (-20),0,14:44,2,7,.286,0,2,.000,0,0,,0,1,1,1,0,0,1,0,4,-0.1,-15
62,53,2023-02-28,27-209,WAS,@,ATL,W (+3),0,15:11,4,8,.500,0,2,.000,0,0,,1,1,2,1,0,0,1,2,8,3.9,-2
63,54,2023-03-02,27-211,WAS,,TOR,W (+11),0,4:24,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+6
64,55,2023-03-04,27-213,WAS,,TOR,L (-7),0,7:36,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,3,0,0,-4.1,-6
65,56,2023-03-05,27-214,WAS,,MIL,L (-6),0,10:21,1,3,.333,1,2,.500,0,0,,0,2,2,0,1,0,0,0,3,2.9,+7
66,57,2023-03-07,27-216,WAS,@,DET,W (+2),0,5:17,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-13
67,,2023-03-08,27-217,WAS,,ATL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,,2023-03-10,27-219,WAS,,ATL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
69,58,2023-03-12,27-221,WAS,@,PHI,L (-19),0,4:18,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,2,0,3,0.3,0
70,,2023-03-14,27-223,WAS,,DET,W (+20),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,59,2023-03-17,27-226,WAS,@,CLE,L (-23),0,3:55,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,1,5,3.6,-3
72,60,2023-03-18,27-227,WAS,,SAC,L (-14),0,5:30,0,2,.000,0,2,.000,2,2,1.000,0,0,0,1,1,0,0,0,2,2.3,+8
73,61,2023-03-21,27-230,WAS,@,ORL,L (-10),0,4:55,1,4,.250,1,2,.500,0,0,,0,0,0,0,2,0,0,0,3,2.6,+4
74,62,2023-03-22,27-231,WAS,,DEN,L (-14),0,8:21,3,4,.750,1,2,.500,0,0,,0,0,0,1,0,0,0,0,7,6.1,-1
75,,2023-03-24,27-233,WAS,,SAS,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,63,2023-03-26,27-235,WAS,@,TOR,L (-10),0,8:09,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,1,2,3,-0.5,-4
77,64,2023-03-28,27-237,WAS,,BOS,W (+19),0,17:15,5,13,.385,2,7,.286,0,0,,0,1,1,2,0,0,0,1,12,6.2,-4
78,65,2023-03-31,27-240,WAS,,ORL,L (-7),0,13:54,5,10,.500,2,5,.400,0,0,,0,3,3,2,1,1,2,4,12,7.4,
79,66,2023-04-02,27-242,WAS,@,NYK,L (-9),0,13:00,4,6,.667,3,4,.750,0,0,,0,2,2,0,1,0,3,0,11,7.0,-5
80,67,2023-04-04,27-244,WAS,,MIL,L (-12),0,22:29,9,17,.529,5,6,.833,1,2,.500,1,6,7,6,2,1,1,2,24,22.9,-2
81,68,2023-04-05,27-245,WAS,@,ATL,L (-18),0,26:06,7,17,.412,1,6,.167,0,0,,0,1,1,4,0,0,1,2,15,7.2,-13
82,69,2023-04-07,27-247,WAS,,MIA,W (+6),0,16:24,1,6,.167,1,5,.200,4,4,1.000,1,1,2,3,0,0,2,1,7,3.9,-9
83,70,2023-04-09,27-249,WAS,,HOU,L (-5),0,21:48,4,9,.444,2,4,.500,2,2,1.000,1,4,5,3,1,2,4,2,12,8.9,-8
