Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,12,2023-01-09,30-258,WAS,,NOP,L (-20),0,16:54,2,4,.500,0,2,.000,0,0,,0,0,0,3,2,0,2,2,4,3.3,-8
42,13,2023-01-11,30-260,WAS,,CHI,W (+3),0,24:44,2,4,.500,0,0,,0,0,,1,3,4,3,3,1,2,1,4,7.0,-4
43,14,2023-01-13,30-262,WAS,,NYK,L (-4),0,24:33,2,7,.286,1,4,.250,1,1,1.000,2,6,8,1,0,0,1,3,6,3.6,+14
44,15,2023-01-16,30-265,WAS,,GSW,L (-9),0,27:42,3,5,.600,1,2,.500,2,2,1.000,0,1,1,7,2,0,1,2,9,12.1,-19
45,16,2023-01-18,30-267,WAS,@,NYK,W (+11),0,21:52,3,8,.375,1,3,.333,4,4,1.000,2,3,5,4,2,2,1,1,11,13.7,+2
46,17,2023-01-21,30-270,WAS,,ORL,W (+20),0,23:54,5,5,1.000,3,3,1.000,2,2,1.000,1,2,3,8,3,0,0,2,15,22.6,+20
47,18,2023-01-24,30-273,WAS,@,DAL,W (+1),0,21:33,4,7,.571,2,5,.400,0,0,,1,2,3,6,3,0,0,0,10,15.2,-3
48,19,2023-01-25,30-274,WAS,@,HOU,W (+5),1,25:42,2,6,.333,1,4,.250,0,0,,2,1,3,4,3,0,1,2,5,7.3,-4
49,20,2023-01-28,30-277,WAS,@,NOP,W (+10),0,24:28,3,7,.429,0,1,.000,2,2,1.000,2,2,4,0,0,0,2,1,8,3.9,+1
50,21,2023-01-30,30-279,WAS,@,SAS,W (+21),0,23:24,2,4,.500,1,2,.500,0,0,,1,5,6,2,0,0,0,1,5,6.2,+10
51,22,2023-02-03,30-283,WAS,,POR,L (-8),0,27:21,1,2,.500,0,0,,0,0,,3,1,4,2,3,0,2,3,2,4.6,-10
52,23,2023-02-04,30-284,WAS,@,BRK,L (-2),0,27:36,2,5,.400,0,2,.000,0,0,,1,4,5,2,1,0,0,0,4,5.6,-9
53,24,2023-02-06,30-286,WAS,,CLE,L (-23),0,19:15,0,3,.000,0,1,.000,0,0,,0,3,3,3,1,0,0,2,0,1.1,-2
54,25,2023-02-08,30-288,WAS,,CHO,W (+14),1,31:36,1,6,.167,0,2,.000,0,0,,0,6,6,10,1,0,1,5,2,5.0,+6
55,26,2023-02-11,30-291,WAS,,IND,W (+14),0,22:58,2,4,.500,1,1,1.000,4,4,1.000,0,0,0,5,1,0,2,1,9,9.1,+16
56,27,2023-02-13,30-293,WAS,@,GSW,L (-9),0,19:26,4,6,.667,2,4,.500,0,0,,2,2,4,1,2,0,3,2,10,8.3,+1
57,28,2023-02-14,30-294,WAS,@,POR,W (+25),0,29:23,2,3,.667,1,1,1.000,0,0,,0,2,2,6,4,0,1,0,5,11.5,+10
58,29,2023-02-16,30-296,WAS,@,MIN,W (+8),0,29:11,5,9,.556,0,1,.000,0,0,,5,2,7,3,3,1,2,1,10,13.2,+25
59,30,2023-02-24,30-304,WAS,,NYK,L (-6),0,20:52,5,8,.625,5,7,.714,0,0,,2,1,3,2,2,2,1,0,15,16.9,+7
60,31,2023-02-26,30-306,WAS,@,CHI,L (-20),1,28:08,6,7,.857,2,3,.667,0,0,,2,2,4,0,0,0,1,0,14,12.5,-3
61,32,2023-02-28,30-308,WAS,@,ATL,W (+3),1,30:44,3,4,.750,0,0,,3,3,1.000,3,0,3,4,0,1,0,3,9,11.8,0
62,33,2023-03-02,30-310,WAS,,TOR,W (+11),1,33:21,3,7,.429,1,3,.333,0,0,,1,5,6,11,3,0,0,1,7,15.8,+5
63,34,2023-03-04,30-312,WAS,,TOR,L (-7),1,39:44,6,10,.600,4,6,.667,2,2,1.000,2,4,6,7,6,1,3,2,18,23.8,-2
64,35,2023-03-05,30-313,WAS,,MIL,L (-6),1,29:10,4,8,.500,1,2,.500,1,1,1.000,1,2,3,5,2,0,1,1,10,11.4,-3
65,36,2023-03-07,30-315,WAS,@,DET,W (+2),1,32:08,1,4,.250,0,1,.000,1,2,.500,1,2,3,6,5,1,0,0,3,11.4,+8
66,37,2023-03-08,30-316,WAS,,ATL,L (-2),1,31:31,3,4,.750,0,0,,1,1,1.000,1,3,4,5,3,0,2,2,7,10.7,+4
67,38,2023-03-10,30-318,WAS,,ATL,L (-7),0,29:41,4,6,.667,0,1,.000,2,2,1.000,1,1,2,5,3,0,1,1,10,13.5,-10
68,39,2023-03-12,30-320,WAS,@,PHI,L (-19),0,19:47,1,5,.200,0,2,.000,0,0,,2,0,2,3,1,0,0,1,2,3.0,-2
69,40,2023-03-14,30-322,WAS,,DET,W (+20),0,21:53,0,5,.000,0,3,.000,0,0,,3,0,3,3,0,0,0,1,0,0.3,+10
70,41,2023-03-17,30-325,WAS,@,CLE,L (-23),0,16:31,2,4,.500,0,0,,0,0,,2,1,3,2,0,1,1,0,4,4.8,-17
71,42,2023-03-18,30-326,WAS,,SAC,L (-14),0,20:01,1,2,.500,0,1,.000,2,2,1.000,1,1,2,2,0,1,0,1,4,5.7,-11
72,43,2023-03-21,30-329,WAS,@,ORL,L (-10),0,16:28,1,3,.333,0,2,.000,0,0,,0,0,0,2,0,0,2,1,2,-0.7,-6
73,44,2023-03-22,30-330,WAS,,DEN,L (-14),0,20:33,3,6,.500,0,1,.000,1,2,.500,1,2,3,2,0,2,0,1,7,7.3,-4
74,45,2023-03-24,30-332,WAS,,SAS,W (+12),0,28:58,9,14,.643,3,6,.500,3,3,1.000,1,6,7,3,0,0,0,0,24,22.4,+26
75,46,2023-03-26,30-334,WAS,@,TOR,L (-10),1,33:56,2,9,.222,1,4,.250,0,0,,0,7,7,8,2,0,1,0,5,8.2,+1
76,47,2023-03-28,30-336,WAS,,BOS,W (+19),1,30:35,3,5,.600,1,2,.500,1,3,.333,0,5,5,2,2,0,1,2,8,8.0,+21
77,48,2023-03-31,30-339,WAS,,ORL,L (-7),1,32:05,8,15,.533,2,6,.333,3,3,1.000,3,6,9,4,1,0,0,2,21,20.6,
78,49,2023-04-02,30-341,WAS,@,NYK,L (-9),1,31:37,3,9,.333,1,3,.333,1,2,.500,1,4,5,7,4,0,2,0,8,11.3,-18
79,,2023-04-04,30-343,WAS,,MIL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,2023-04-05,30-344,WAS,@,ATL,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,50,2023-04-07,30-346,WAS,,MIA,W (+6),1,20:34,4,7,.571,0,2,.000,3,3,1.000,0,7,7,4,0,0,0,0,11,12.6,+18
82,,2023-04-09,30-348,WAS,,HOU,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
