MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name
39.0,1.0,12.0,24.0,0.5,2.0,8.0,0.25,7.0,8.0,0.875,1.0,5.0,6.0,7.0,1.0,0.0,3.0,2.0,33.0,24.9,2022-12-02,0.5995639534883721,32.0,bradley_beal
31.0,1.0,9.0,17.0,0.529,0.0,3.0,0.0,11.0,13.0,0.846,1.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,29.0,18.8,2022-12-18,0.6382042253521127,30.0,bradley_beal
35.0,1.0,8.0,20.0,0.4,0.0,2.0,0.0,11.0,14.0,0.786,2.0,4.0,6.0,6.0,1.0,1.0,2.0,1.0,27.0,21.1,2022-12-20,0.5160550458715596,34.0,bradley_beal
31.0,1.0,13.0,20.0,0.65,0.0,3.0,0.0,4.0,4.0,1.0,1.0,4.0,5.0,5.0,0.0,0.0,2.0,2.0,30.0,23.8,2022-12-22,0.6893382352941176,24.0,bradley_beal
34.0,1.0,10.0,16.0,0.625,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,1.0,4.0,1.0,0.0,3.0,2.0,24.0,16.7,2022-12-23,0.6928406466512702,19.0,bradley_beal
29.0,1.0,8.0,15.0,0.533,3.0,5.0,0.6,0.0,0.0,,1.0,0.0,1.0,5.0,0.0,2.0,3.0,1.0,19.0,13.9,2022-12-27,0.6333333333333333,15.0,bradley_beal
13.0,1.0,3.0,7.0,0.429,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,8.0,7.8,2023-01-03,0.5076142131979695,9.0,bradley_beal
28.0,1.0,7.0,11.0,0.636,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,0.0,1.0,2.0,0.0,18.0,16.2,2023-01-18,0.7305194805194805,14.0,bradley_beal
27.0,1.0,7.0,14.0,0.5,2.0,3.0,0.667,1.0,1.0,1.0,1.0,3.0,4.0,8.0,0.0,0.0,1.0,3.0,17.0,15.0,2023-01-21,0.5886426592797784,15.0,bradley_beal
30.0,1.0,7.0,17.0,0.412,2.0,2.0,1.0,6.0,9.0,0.667,0.0,0.0,0.0,4.0,0.0,1.0,2.0,5.0,22.0,11.2,2023-01-24,0.5248091603053435,26.0,bradley_beal
29.0,1.0,7.0,17.0,0.412,0.0,3.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,4.0,0.0,0.0,2.0,0.0,17.0,9.2,2023-01-25,0.453091684434968,21.0,bradley_beal
32.0,1.0,5.0,17.0,0.294,2.0,6.0,0.333,4.0,5.0,0.8,1.0,3.0,4.0,5.0,0.0,1.0,5.0,1.0,16.0,6.1,2023-01-28,0.4166666666666667,22.0,bradley_beal
