MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
34.0,1.0,6.0,19.0,0.316,4.0,8.0,0.5,5.0,6.0,0.833,1.0,3.0,4.0,1.0,0.0,0.0,2.0,4.0,21.0,8.4,2023-01-13,0.4852125693160813,25.0,kristaps_porzingis,0.35294117647058826
36.0,1.0,9.0,15.0,0.6,3.0,7.0,0.429,11.0,12.0,0.917,0.0,5.0,5.0,3.0,1.0,2.0,1.0,3.0,32.0,28.5,2023-01-16,0.7889546351084812,27.0,kristaps_porzingis,0.3214285714285714
32.0,1.0,6.0,17.0,0.353,4.0,9.0,0.444,6.0,6.0,1.0,5.0,6.0,11.0,5.0,0.0,2.0,3.0,6.0,22.0,17.3,2023-01-18,0.560081466395112,23.0,kristaps_porzingis,0.3026315789473684
22.0,1.0,3.0,10.0,0.3,1.0,3.0,0.333,10.0,10.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,2.0,2.0,17.0,11.3,2023-01-21,0.5902777777777778,20.0,kristaps_porzingis,0.597758405977584
30.0,1.0,7.0,13.0,0.538,1.0,3.0,0.333,2.0,2.0,1.0,1.0,8.0,9.0,7.0,3.0,5.0,2.0,5.0,17.0,21.2,2023-01-30,0.6123919308357348,15.0,kristaps_porzingis,0.2376237623762376
35.0,1.0,9.0,15.0,0.6,3.0,6.0,0.5,11.0,12.0,0.917,0.0,8.0,8.0,4.0,0.0,1.0,1.0,5.0,32.0,27.6,2023-02-03,0.7889546351084812,27.0,kristaps_porzingis,0.38571428571428573
32.0,1.0,11.0,20.0,0.55,4.0,5.0,0.8,12.0,13.0,0.923,1.0,4.0,5.0,2.0,0.0,2.0,5.0,6.0,38.0,25.3,2023-02-04,0.7387247278382582,33.0,kristaps_porzingis,0.45412844036697253
26.0,1.0,7.0,13.0,0.538,1.0,6.0,0.167,3.0,3.0,1.0,1.0,6.0,7.0,1.0,0.0,1.0,2.0,3.0,18.0,12.4,2023-02-06,0.6284916201117319,16.0,kristaps_porzingis,0.4475524475524476
35.0,1.0,13.0,22.0,0.591,8.0,14.0,0.571,2.0,3.0,0.667,2.0,7.0,9.0,2.0,0.0,2.0,1.0,2.0,36.0,29.9,2023-02-08,0.7718696397941681,25.0,kristaps_porzingis,0.39867109634551495
32.0,1.0,4.0,8.0,0.5,1.0,3.0,0.333,8.0,8.0,1.0,4.0,6.0,10.0,5.0,0.0,1.0,0.0,2.0,17.0,21.0,2023-02-11,0.7378472222222222,16.0,kristaps_porzingis,0.25806451612903225
35.0,1.0,12.0,16.0,0.75,2.0,3.0,0.667,8.0,8.0,1.0,1.0,6.0,7.0,2.0,1.0,0.0,4.0,1.0,34.0,28.1,2023-02-13,0.8709016393442623,24.0,kristaps_porzingis,0.3291428571428571
29.0,1.0,10.0,15.0,0.667,1.0,3.0,0.333,7.0,7.0,1.0,3.0,9.0,12.0,5.0,0.0,1.0,4.0,5.0,28.0,24.5,2023-02-14,0.7743362831858408,22.0,kristaps_porzingis,0.40015157256536565
